=== Arrow Key Test Started ===
RAW | MAPPED | DESCRIPTION
0x0A | 0x03E9 | DOWN ARROW
0x0B | 0x03E8 | UP ARROW
0x0C | 0x03E7 | RIGHT ARROW
0x0A | 0x03E9 | DOWN ARROW
0x0B | 0x03E8 | UP ARROW
0x0A | 0x03E9 | DOWN ARROW
0x0B | 0x03E8 | UP ARROW
0x0A | 0x03E9 | DOWN ARROW
0x0B | 0x03E8 | UP ARROW
0x08 | 0x03E6 | LEFT ARROW
0x08 | 0x03E6 | LEFT ARROW
0x08 | 0x03E6 | LEFT ARROW
0x0C | 0x03E7 | RIGHT ARROW
0x0C | 0x03E7 | RIGHT ARROW
0x0C | 0x03E7 | RIGHT ARROW
0x0C | 0x03E7 | RIGHT ARROW
0x0C | 0x03E7 | RIGHT ARROW
0x0C | 0x03E7 | RIGHT ARROW
0x0C | 0x03E7 | RIGHT ARROW
0x0C | 0x03E7 | RIGHT ARROW
0x03 | 0x0003 | CTRL+C
